link_id;speed_limit;road_type
386187;80;1030
384839;80;1030
384841;70;1030
383515;70;1030
383518;70;1030
383606;50;1050
383520;80;1030
383521;80;1030
383522;80;1030
383523;60;1030
383524;60;1030
383526;60;1030
383584;40;1040
383586;30;1040
383587;30;1040
383588;60;1040
383589;60;1040
384168;50;1050
384166;50;1050
384165;50;1050
384164;50;1050
384163;50;1050
383596;50;1050
383597;50;1050
383598;50;1050
383599;50;1050
383600;50;1050
383612;50;1050
384835;80;1030
384836;80;1030
384838;80;1030
386234;80;1030
386233;80;1030
386232;80;1030
386231;80;1030
386229;80;1030
386228;80;1030
386227;80;1030
386217;80;1030
391738;80;1030
391737;80;1030
391736;100;1030
391729;40;1030
391653;91;1010
391646;91;1010
402535;91;1010
402549;40;1040
402586;50;1040
402562;50;1040
402564;50;1040
402579;50;1040
402578;50;1040
402577;50;1040
402576;50;1040
402575;50;1040
402574;50;1040
402573;50;1040
386251;40;1050
397093;50;1050
397110;50;1050
397109;50;1050
397107;50;1050
397106;50;1050
397105;50;1050
397103;50;1050
396442;50;1050
396444;50;1050
396445;50;1050
396446;50;1050
396447;50;1050
396400;50;1040
396398;50;1040
397743;50;1040
397744;50;1040
397745;50;1040
397747;50;1040
397749;50;1040
391740;80;1030
391714;67;1030
391642;80;1010
402550;40;1040
402560;52;1040
391660;80;1010
391658;100;1010
391702;100;1030
391698;60;1030
386193;80;1030
386189;67;1030
384840;80;1030
383519;70;1030
383604;50;1050
383603;50;1050
383611;50;1050
383608;50;1050
383607;50;1050
382902;50;1050
383616;50;1050
383514;80;1030
384833;70;1030
384834;70;1030
384837;80;1030
391633;100;1010
386247;40;1050
396425;40;1050
399231;40;1050
397772;50;1040
397774;50;1040
397775;50;1040
397756;50;1040
402609;50;1040
402590;50;1040
402587;50;1040
402584;50;1040
402558;52;1040
403247;100;1010
391650;40;1010
391649;40;1010
391647;40;1010
391657;100;1010
402585;50;1040
386242;50;1050
391662;100;1010
390996;91;1010
390997;91;1010
390998;91;1010
390999;130;1010
391000;130;1010
385603;130;1010
385602;130;1010
385601;130;1010
385600;130;1010
385598;130;1010
385633;80;1040
385631;80;1040
385630;50;1040
385625;80;1040
385624;80;1040
385623;60;1040
385642;80;1040
385629;80;1040
385628;60;1040
382196;60;1040
382197;40;1040
382204;80;1040
385637;80;1040
385635;80;1040
385608;130;1010
385607;130;1010
385606;130;1010
385605;130;1010
385604;130;1010
390989;130;1010
390990;130;1010
390991;100;1010
390992;100;1010
390994;100;1010
390995;100;1010
391688;80;1010
391654;91;1010
391648;40;1010
385599;130;1010
385632;80;1040
385621;70;1040
385643;70;1040
382198;80;1040
385636;80;1040
391631;100;1010
391632;100;1010
386223;80;1030
397104;50;1050
396443;50;1050
397746;50;1040
391643;80;1010
386198;80;1030
383516;70;1030
383605;50;1050
383609;50;1050
396434;40;1050
397742;50;1040
397748;50;1040
396381;70;1040
391651;91;1010
385634;80;1040
386191;80;1030
383525;60;1030
383528;60;1030
383529;70;1030
383530;70;1030
383571;60;1040
383569;60;1040
383568;60;1040
383566;60;1040
383565;60;1040
383564;60;1040
382880;60;1040
382881;60;1040
382882;60;1040
382884;50;1040
382885;50;1040
382897;50;1040
382895;50;1040
382893;50;1040
382892;50;1040
382890;50;1040
382889;50;1040
382887;50;1040
382886;50;1040
384843;50;1040
384844;50;1040
384845;50;1040
384846;50;1040
384848;50;1040
384849;50;1040
384850;50;1040
385611;30;1040
385647;30;1040
385646;70;1040
385645;70;1040
385644;70;1040
386256;50;1050
402582;50;1040
402581;50;1040
402556;52;1040
402559;52;1040
383602;50;1050
396438;40;1050
402606;50;1040
402600;40;1040
402598;40;1040
402594;40;1040
402563;50;1040
397097;50;1050
397750;50;1040
402591;50;1040
383617;50;1050
383513;80;1030
391728;80;1030
391727;80;1030
391725;80;1030
391661;80;1010
385597;130;1010
385596;130;1010
382136;130;1010
382135;130;1010
382134;130;1010
382133;130;1010
382132;130;1010
381423;130;1010
381424;130;1010
203731;130;1010
202394;52;1040
202344;130;1010
202391;40;1040
202343;91;1010
202342;91;1010
202341;130;1010
202340;130;1010
202339;130;1010
201669;130;1010
200267;130;1010
200266;100;1010
200265;100;1010
200264;100;1010
200263;100;1010
200261;100;1010
200262;40;1010
200300;100;1010
200302;100;1010
200303;80;1010
201044;80;1010
201045;80;1010
201046;70;1010
201047;70;1010
201048;70;1010
201049;70;1010
201071;70;1030
201067;70;1030
201066;70;1030
201065;70;1030
201063;70;1030
201670;70;1030
201690;70;1040
201689;50;1040
201688;40;1040
201687;40;1040
201685;70;1040
201684;70;1040
204481;70;1040
204483;70;1040
204485;70;1040
204486;70;1040
204488;70;1040
204489;70;1040
204491;70;1040
204492;70;1040
204493;70;1040
204495;70;1040
204524;70;1040
204505;70;1040
205170;70;1040
205165;70;1040
205163;70;1040
205161;70;1040
205150;70;1040
205148;70;1040
205147;70;1040
205144;70;1040
205142;70;1040
205184;40;1040
205134;40;1040
205137;40;1040
219427;50;1050
219428;50;1050
219429;70;1050
219430;70;1050
219397;70;1040
219398;70;1040
219399;60;1040
219400;60;1040
219401;60;1040
219402;60;1040
219404;60;1040
219405;60;1040
219406;60;1040
219395;50;1040
219365;70;1030
219366;70;1030
383499;70;1030
383500;70;1030
383501;70;1030
383549;70;1040
383505;70;1030
383506;70;1030
383507;70;1030
383508;70;1030
383509;80;1030
383511;80;1030
386226;80;1030
204482;70;1040
204490;70;1040
204494;70;1040
205171;70;1040
205168;70;1040
205094;70;1040
205093;70;1040
205090;70;1040
205087;70;1040
205086;70;1040
204542;70;1040
204543;70;1040
204545;70;1040
204547;70;1040
204548;70;1040
204551;70;1040
204553;70;1040
204554;70;1040
204556;70;1040
204557;70;1040
204558;70;1040
204559;70;1040
201682;50;1040
201680;40;1040
201675;40;1040
201674;40;1040
201709;50;1050
201706;50;1050
201705;50;1050
201703;50;1050
201701;50;1050
201697;50;1050
201695;50;1050
201694;50;1050
201693;50;1050
201692;50;1050
201691;40;1050
201090;40;1050
201091;40;1050
201092;50;1050
201094;50;1050
201095;50;1050
201114;50;1050
201097;50;1050
201111;50;1050
201108;50;1050
204496;70;1040
204503;52;1040
205162;70;1040
204549;70;1040
204552;70;1040
204555;70;1040
201677;40;1040
201707;50;1050
201704;50;1050
201702;50;1050
201698;50;1050
201696;50;1050
204484;70;1040
204487;70;1040
204525;70;1040
204526;52;1040
204528;70;1040
218184;70;1040
218185;70;1040
218186;70;1040
218187;70;1040
218188;70;1040
218189;70;1040
218190;70;1040
218787;70;1040
218791;60;1040
218793;60;1040
218794;60;1040
218795;60;1040
218796;60;1040
218799;60;1040
218784;60;1040
218783;60;1040
218782;60;1040
218781;60;1040
